"Package","Version","Description"
"emmeans","1.11.2","The package enables the estimation of marginal means for various models, facilitating contrasts, trends, and slope comparisons, while providing visualization tools for these analyses."
"estimability","1.5.1","This package offers tools for assessing the estimability of linear functions of regression coefficients and includes methods for correctly handling non-estimable cases."
"evaluate","1.0.4","This package provides tools for parsing and evaluating R expressions, enabling users to replicate command line behaviors within their R scripts."
"fansi","1.0.6","This package provides functions for string manipulation in R that specifically handle ANSI text formatting control sequences, ensuring accurate processing of styled text."
"farver","2.1.2","The 'farver' package facilitates fast color space conversion and comparisons in R, offering efficient functionalities for working with various color representations, implemented in C++ for improved performance over traditional methods."
"fastmap","1.2.0","Fastmap provides an efficient implementation of key-value stores, stacks, and queues in R, utilizing C++ data structures to prevent memory leakage associated with traditional environments."
"forcats","1.0.0","This package provides tools for reordering and modifying factor levels in R, allowing users to move specified levels to the front, order by first appearance, reverse order, shuffle randomly, collapse rare levels, anonymize, and manually recode levels."
"formatters","0.5.11","This package offers tools for creating and formatting complex ASCII tables, along with various formatters to convert values into display-ready strings."
"fs","1.6.6","This package provides a cross-platform interface for file system operations that leverages the 'libuv' C library for enhanced performance and consistency."
"generics","0.1.4","The ""generics"" package in R offers a set of commonly used S3 generics to minimize package dependencies and conflicts."
"ggplot2","3.5.2","'ggplot2' is an R package that enables users to create complex graphics by declaratively mapping data to visual aesthetics based on the principles outlined in ""The Grammar of Graphics."""
"ggsurvfit","1.1.0","This package facilitates the creation of publication-ready time-to-event (survival) endpoint figures using modular functions that seamlessly integrate with 'ggplot2' for customization and enhancement."
"glue","1.8.0","This package provides an implementation of interpreted string literals, allowing for easy embedding of expressions and multiline text, modeled after features from Python and Julia."
"gtable","0.3.6","The 'gtable' package provides tools for creating and manipulating complex layouts of graphical objects (grobs) in a grid format, enabling the construction of intricate visual compositions."
"haven","2.5.5","The package allows users to import foreign statistical data formats into R using the embedded ReadStat C library."
"highr","0.11","This package enables syntax highlighting for R source code in LaTeX and HTML formats, and also supports other programming languages through the highlight package."
"hms","1.1.3","This package implements an S3 class designed for storing and formatting time-of-day values, utilizing the capabilities of the 'difftime' class in R."
"htmltools","0.5.8.1","This package provides tools for generating and outputting HTML content efficiently."
"huxtable","5.6.0","This package provides a user-friendly interface for creating and styling tables for data presentation, with options for exporting to various formats such as HTML, LaTeX, and Word, while also supporting advanced features like cell spanning and regression table generation."
"isoband","0.2.7","This package provides a fast C++ implementation for generating contour lines (isolines) and contour polygons (isobands) from regularly spaced elevation data grids."
"janitor","2.2.1","The janitor package in R provides user-friendly functions for formatting data frame column names, generating frequency tables and crosstabs, exploring duplicate records, and producing well-formatted tabulation results, all while adhering to the tidyverse principles."
"jsonlite","2.0.0","The 'jsonlite' package provides a fast and flexible framework for parsing and generating JSON data in R, making it particularly useful for statistical applications and web API interactions."
"jsonvalidate","1.5.0","This package validates JSON data against specified JSON schemas using the 'is-my-json-valid' or 'ajv' libraries, supporting Drafts 04, 06, and 07 of the JSON schema."
"knitr","1.50","This package offers a versatile tool for generating dynamic reports in R using Literate Programming techniques."
"labeling","0.4.3","This package offers a variety of algorithms for generating and formatting axis labels in R visualizations."
"lattice","0.22-7","Lattice is a high-level data visualization system in R that excels in creating complex, multivariate graphics inspired by Trellis graphics, while balancing ease of use with flexibility for diverse visualization needs."
"lifecycle","1.0.4","This package simplifies the management of exported functions by providing conventions, documentation badges, and user-friendly deprecation warnings throughout their life cycle."
"lubridate","1.9.4","The 'lubridate' package provides user-friendly functions for parsing, manipulating, and performing algebraic operations on date-time and time-span objects, with a consistent and memorable syntax."
"magrittr","2.0.3","This package introduces a forward-pipe operator, %>%, which facilitates command chaining by passing values or expression results directly into subsequent function calls or expressions."
"MASS","7.3-65","The package provides functions and datasets that support the concepts and methods presented in the book ""Modern Applied Statistics with S"" by Venables and Ripley, facilitating statistical analysis and modeling."
"Matrix","1.7-3","This package provides a comprehensive suite of classes for sparse and dense matrices—including general, symmetric, triangular, and diagonal types—with efficient methods for manipulation and operations, leveraging low-level libraries like 'BLAS', 'LAPACK', and 'SuiteSparse'."
"memoise","2.0.1","The package provides functionality to cache the results of a function, enabling it to return previously computed values when called again with the same arguments."
"metacore","0.2.0","This package provides an immutable container for holding metadata, enhancing programming activities and supporting the functionality of other packages within the clinical programming workflow."
"metatools","0.1.6","This package utilizes metadata information from 'metacore' objects to validate and construct associated metadata columns."
"mgcv","1.9-3","This package provides tools for fitting generalized additive (mixed) models and their extensions, enabling multiple smoothing parameter estimation, Bayesian inference, and support for various distributions and smoothers."
"mvtnorm","1.3-3","This R package provides tools for computing probabilities, quantiles, random deviates, and densities for multivariate normal and t distributions, as well as log-likelihood functions for multivariate Gaussian models and copulas, supporting both interval-censored and exact data."
"nlme","3.1-168","This package facilitates the fitting and comparison of both Gaussian linear and nonlinear mixed-effects models for statistical analysis."
"numDeriv","2016.8-1.1","This R package provides various methods for accurately calculating first and second order numerical derivatives, utilizing techniques such as Richardson's extrapolation and complex step derivatives, along with a simpler difference method for quick cross-checks."
"patchwork","1.3.1","The 'patchwork' package extends the 'ggplot2' API to facilitate the complex composition of multiple plots through the use of mathematical operators, enabling users to easily combine and arrange plots in various layouts."
"pharmaRTF","0.1.4","This R package provides an enhanced wrapper for generating RTF documents with advanced formatting capabilities, including multiple title levels, footnotes, and customizable layout options, specifically designed for regulatory submission reports created with existing R table packages like 'Huxtable' or 'GT'."
"pillar","1.11.0","This package offers generics for formatting data columns with a comprehensive array of colors, enhancing the visual appeal in modern terminal environments."
"pkgbuild","1.4.8","This package provides essential functions for building R packages by locating the necessary compilers for various platforms and configuring the system PATH accordingly."
"pkgconfig","2.0.3","This package allows users to set configuration options specifically for individual packages, ensuring that these options only affect the specified package without impacting others."
"pkgload","1.4.0","The package facilitates the simulation of installing and attaching R packages, enabling efficient development and rapid iteration within the 'devtools' framework."
"prettyunits","1.2.0","This package provides a user-friendly way to format and present various quantities, including time intervals, bytes, p-values, colors, and numerical values, in a more human-readable format."
"processx","3.8.6","The 'processx' package provides tools to manage and interact with system processes in the background, allowing users to check their status, wait for completion, retrieve exit statuses, terminate processes, and handle their standard output and error streams."
"progress","1.2.3","This package provides customizable progress bars for R that display percentage, elapsed time, and estimated completion time, functioning across various platforms and integrating with a C++ API."
"ps","1.9.1","This package allows users to list, query, and manipulate all system processes across Windows, Linux, and macOS platforms."
"purrr","1.1.0","This package provides a comprehensive and cohesive suite of tools for functional programming in R, enabling users to efficiently apply functional paradigms to their data processing and analysis tasks."
"r2rtf","1.1.4","This package allows users to create production-ready Rich Text Format (RTF) tables and figures with flexible formatting options."
"R6","2.6.1","The package facilitates the creation of lightweight R6 classes, which feature reference semantics, support for public and private members, and inheritance, without the complexity of S4 classes."
"RColorBrewer","1.1-3","This R package provides color schemes for maps and other graphics, designed by Cynthia Brewer, to enhance visual representation and readability."
"Rcpp","1.1.0","The 'Rcpp' package enables seamless integration between R and C++ by providing R functions and C++ classes that allow for efficient data type mapping and the utilization of third-party libraries."
"readr","2.1.5","The 'readr' package in R offers a fast and user-friendly approach to reading and parsing various rectangular data formats, such as CSV, TSV, and fixed-width files, with robust handling of unexpected data variations."
"readxl","1.4.5","This R package facilitates the import of both '.xls' and '.xlsx' Excel files across Windows, Mac, and Linux platforms, utilizing embedded libraries for seamless data access."
"rematch","2.0.0","This R package provides a simplified interface for extracting matches and captured groups from regular expressions applied to character vectors."
"renv","1.1.4","`renv` is an R package that facilitates dependency management by allowing users to create and manage project-local libraries, save their state to a lockfile, and restore libraries for enhanced project isolation, portability, and reproducibility."
"rlang","1.1.6","This package provides tools for working with base types, core R features such as the condition system, and key 'Tidyverse' functionalities including tidy evaluation."
"roxygen2","7.3.2","The package automates the generation of Rd documentation, NAMESPACE files, and collation fields in R by using specially formatted comments within the code, streamlining the documentation process and keeping it aligned with code changes."
"rprojroot","2.1.0","This package provides a system for managing file paths relative to a project's root directory, ensuring robust and flexible file access based on specific criteria."
"rtables","0.6.13","The 'rtables' package in R facilitates the creation of complex multi-level reporting tables by modeling the tabulation process as hierarchical, tree-like structures, allowing for intricate grouping, splitting, and summary computations within the tables."
"scales","1.4.0","This package provides tools for mapping data to graphical aesthetics, including automatic determination of axis and legend breaks and labels."
"snakecase","0.11.1","This package provides a user-friendly tool for parsing and converting strings into various formats such as snake case and camel case."
"stringi","1.8.7","The 'stringi' package provides a comprehensive set of fast and portable tools for string manipulation and processing, including pattern searching, random string generation, and Unicode handling, enhancing functionality across various locales and platforms."
"stringr","1.5.1","This package provides a user-friendly interface with consistent functionality for string manipulation, leveraging the capabilities of the 'stringi' package while effectively handling 'NA' values and zero-length vectors."
"survival","3.8-3","This package provides essential tools for survival analysis, including the creation of Surv objects, estimation of Kaplan-Meier and Aalen-Johansen curves, and implementation of Cox and parametric accelerated failure time models."
"tibble","3.3.0","This package offers a 'tbl_df' class, known as a 'tibble', which enhances data frame functionality with stricter validation and improved formatting."
"tidyr","1.3.1","The 'tidyr' package in R provides tools for creating tidy data by reshaping and organizing datasets, including functionalities for pivoting, nesting, unnesting, and handling missing values."
"tidyselect","1.2.1","This package provides a backend for implementing select-like functions in R, ensuring consistent behavior with other 'tidyverse' selection interfaces."
"timechange","0.3.0","This R package provides efficient tools for manipulating date-time objects, including time-zone adjustments, daylight saving time considerations, and various date-time component modifications."
"Tplyr","1.2.1","This package streamlines data manipulation for generating clinical summaries with an emphasis on traceability."
"tzdb","0.5.0","This package provides an updated Time Zone Database from the IANA, along with a C++ interface for advanced date and date-time handling, facilitating easier integration for R packages."
"utf8","1.2.6","This package provides tools for processing, validating, normalizing, encoding, formatting, and displaying UTF-8 encoded international text (Unicode)."
"V8","6.0.4","This R package provides an interface to the V8 JavaScript engine, allowing users to execute JavaScript and WebAssembly code within R."
"vctrs","0.6.5","This package offers tools for consistent type coercion and size recycling by introducing new concepts of prototype and size, which are linked to type- and size-stability for analyzing function interfaces."
"viridisLite","0.4.2","The 'viridisLite' package provides color maps that enhance graph readability for individuals with color blindness and are perceptually uniform, along with 'ggplot2' bindings for both discrete and continuous color scales."
"vroom","1.6.5","The 'vroom' package in R is designed for fast reading and writing of data files such as CSV, TSV, and FWF, utilizing lazy loading to optimize performance by only reading the data that is needed."
"withr","3.0.2","This package provides a collection of functions that allow users to safely and temporarily modify the global state of R code execution."
"xfun","0.52","This package provides a collection of miscellaneous functions that are commonly utilized in various other packages maintained by Yihui Xie."
"xml2","1.3.8","This package provides bindings to 'libxml2' for handling XML data through a user-friendly interface based on 'XPath' expressions, while also supporting XML schema validation."
"xportr","0.4.3","This package provides tools for constructing CDISC-compliant datasets and verifying their compliance with CDISC standards."
"yaml","2.3.10","This package provides an interface to the 'libyaml' YAML 1.1 parser and emitter for R, allowing users to easily read and write YAML files."
"yyjsonr","0.1.21","This package provides a fast JSON parser, generator, and validator that converts JSON, NDJSON, and GeoJSON data to and from R objects, supporting standard R data types while handling NULL and NA values."
